,ATL,BOS,ANC,PAS
1962,41.0,28.7,13.4,56.0
1963,37.2,29.5,19.2,53.8
1964,40.8,31.7,14.0,54.0
1965,43.2,25.4,10.0,57.1
1966,36.6,28.8,9.6,53.9
1967,43.9,35.1,7.1,56.2
1968,39.2,25.5,12.4,55.7
1969,40.2,29.3,4.6,55.3
1970,35.9,23.0,9.2,55.0
1971,42.9,23.7,2.7,56.5
1972,46.7,33.0,6.3,54.5
1973,41.4,31.4,2.9,53.3
1974,53.2,31.7,6.8,53.8
1975,47.1,34.9,11.9,56.8
1976,38.5,26.1,17.0,58.8
1977,29.3,23.2,32.0,55.7
1978,33.6,28.4,21.2,56.0
1979,37.3,32.5,22.3,51.7
1980,44.9,29.4,14.3,56.7
1981,39.4,21.4,31.5,58.4
1982,38.4,22.9,6.4,53.5
1983,40.3,31.2,16.2,57.2
1984,39.6,26.6,18.8,59.0
1985,36.2,24.3,30.2,53.6
1986,43.4,31.4,25.6,61.1
1987,41.9,28.9,22.8,54.8
1988,39.2,27.8,18.0,56.0
1989,49.7,34.5,3.4,54.1
1990,49.8,36.4,15.4,56.2
1991,44.3,29.4,15.9,56.8
1992,45.0,31.0,20.3,57.9
1993,47.0,32.4,14.5,53.4
1994,40.5,22.2,21.7,58.5
1995,46.3,34.6,15.6,53.5
1996,41.0,30.1,6.0,57.1
1997,46.7,29.2,15.9,56.0
1998,46.0,33.9,15.4,56.0
1999,48.0,29.5,11.9,56.9
2000,43.1,27.5,14.8,58.4
2001,41.7,30.0,27.4,54.1
2002,46.9,36.7,23.7,55.5
2003,40.0,24.1,22.1,64.9
2004,42.8,20.7,9.6,57.3
2005,46.8,26.7,18.8,57.7
2006,49.4,36.5,10.6,58.0
2007,46.1,32.7,16.7,55.2
2008,42.2,33.4,13.4,54.4
2009,43.9,24.8,13.0,61.6
2010,38.5,29.6,18.5,58.5
2011,40.2,27.6,18.8,60.4
2012,49.1,34.1,2.9,61.3
2013,49.9,31.5,23.3,57.0
2014,37.0,27.4,30.3,64.1
2015,43.1,26.1,20.4,62.3
2016,42.4,32.5,27.1,55.5
2017,52.0,35.1,13.6,52.7
2018,40.4,28.6,20.2,60.5
2019,45.9,30.7,20.3,56.4
